"1-hand","Una mano"
"Bushi, Courtier","Bushi, Cortesano"
"Bushi, Monk","Bushi, Monje"
"Bushi, Shinobi","Bushi, Shinobi"
"Butterfly Sword","Cuchillo mariposa"
"By the Light of the Lord Moon","Por la luz del Señor Luna"
"Bō","Bō"
"Bō of Water","Bō de Agua"
"Cadence","Compás"
"Call Upon the Wind","Invocar a los vientos"
"Calligraphy Set","Juego de caligrafía"
"Capture Evil","Atrapar al mal"
"Caress of Earth","La caricia de la Tierra"
"Ceremonial","Ceremonial"
"Ceremonial Clothes","Ropa ceremonial"
"Ceremonial Tea Set",""
"Channel the Fire Dragon","Canalizar el dragón de Fuego"
"Chokutō","Chokutō"
"Choose two of your character's rings; you may reduce the value of one of these rings by 1 to increase the value of the other by 1 (this still cannot raise a ring above 3). If you do not do so, choose one item of rarity 6 or lower and assign it to your starting outfit.","Elige dos de los anillos de tu personaje; puedes reducir en 1 el valor de uno de ellos para incrementar en 1 el valor del otro (aunque seguirás sin poder subirlo por encima de 3). Si no lo haces, elige un objeto de rareza 6 o inferior y añádelo a tu equipo inicial."
"Chopsticks","Palillos"
"City [choose one]","Ciudad [elige una]"
"Civility Foremost","Cortesía ante todo"
"Clan Magistrate","Magistrado de clan"
"Claustrophobia","Claustrofobia"
"Claws of the Crab",""
"Cleansing Rite","Ritual purificador"
"Cleansing Spirit","Espíritu purificador"
"Climbing Kit","Equipo de escalada"
"Cloak of Night","Capa de la noche"
"Close Combat Kata","Kata de combate cuerpo a cuerpo"
"Club","Garrote"
"Clumsiness","torpeza"
"Cognitive Lapses","Lagunas mentales"
"Coiling Serpent Style","Estilo de la serpiente enroscada"
"Command","Mando"
"Commerce","Comercio"
"Common Clothes","Ropa normal"
"Commune with Evil","Comunión con el mal"
"Commune with the Spirits","Comunión con los espíritus"
"Composition","Composición"
"Concealable","Ocultable"
"Concealed Armor","Armadura disimulada"
"Courage of Seven Thunders","El coraje de los siete Truenos"
"Courtesy","Cortesía"
"Courtier","Cortesano"
"Courtier's Resolve","La determinación del cortesano"
"Courtier, Bushi","Cortesano, Bushi"
"Courtier, Monk",""
"Courtier, Shinobi",""
"Courtier, Shugenja","Cortesano, Shugenja"
"Crab","Cangrejo"
"Crackling Laughter",""
"Craft Shikigami","Crear shikigami"
"Crane","Grulla"
"Crashing Wave Style","Estilo de la ola rompiente"
"Creativity, passion or drive","Creatividad, pasión o motivación"
"Creatures","Criaturas"
"Crescent Moon Style","Estilo de la media luna"
"Criminal Connections","Contactos criminales"
"Crimson Leaves Strike","Golpe de las hojas carmesí"
"Crossbows","Ballestas"
"Culture","Cultura"
"Cumbersome","Aparatosa"
"Cunning Distraction",""
"Curiosity","Curiosidad"
"Curse of Musubi-no-Kami",""
"Curse, Interpersonal, Spiritual","Maldición, Interpersonal, Espiritual"
"Curse, Mental","Maldición, Mental"
"Curse, Mental, Spiritual","Maldición, Mental, Espiritual"
"Curse, Physical","Maldición, Física"
"Curse, Physical, Spiritual","Maldición, Física, Espiritual"
"Curse, Spiritual","Maldición, Espiritual"
"Cursed Lineage","Linaje maldito"
"Cynicism","Cinismo"
"Daidoji","Daidoji"
"Daidoji Iron Warrior School","Escuela de guerrero de hierro Daidoji"
"Daidoji Spymaster School",""
"Daikoku's Blessing","Bendición de Daikoku"
"Daikoku's Curse","Maldición de Daikoku"
"Daikyū","Daikyū"
"Daimyō","Daimyō"
"Daishō Stand","Atril para daishō"
"Damaged","Dañada"
"Damaged Heart or Organ","Corazón u órgano dañado"
"Dance of Seasons","El baile de las estaciones"
"Dangerous Allure","Belleza peligrosa"
"Dao","Dao"
"Daredevil","Temerario"
"Dark Reflection","Reflejo oscuro"
"Dark Secret","Secreto oscuro"
"Dazzling Performance","Actuación deslumbrante"
"Dead Eyes","Habituado al miedo"
"Deadly Sting","Picadura mortal"
"Deafness","Sordera"
"Death Touch","El toque de la muerte"
"Deceitful Strike",""
"Decorum",""
"Deer",""
"Delusions of Grandeur","Delirios de grandeza"
"Demon Mask",""
"Demon Wound","Herida demoníaca"
"Demon, Begone!","¡Demonio, yo te expulso!"
"Design","Diseño"
"Despised in [City]","Odiado en [ciudad]"
"Destroyed","Destruida"
"Dice and Cup","Dados y taza"
"Disappearing World Style","Estilo de la desaparición del mundo"
"Disciple of Darkness",""
"Discomfiting Countenance","Aspecto desconcertante"
"Discovery","Descubrimiento"
"Disdain for Compassion","Desdén hacia la Compasión"
"Disdain for Courage","Desdén hacia el Coraje"
"Disdain for Courtesy","Desdén hacia la Cortesía"
"Disdain for Duty and Loyalty","Desdén hacia el Deber y la Lealtad"
"Disdain for Honor","Desdén hacia el Honor"
"Disdain for Righteousness","Desdén hacia la Rectitud"
"Disdain for Sincerity","Desdén hacia la Sinceridad"
"Disguise Kit",""
"Dishonorable Cheat",""
"Distinction","Distinción"
"Divination","Adivinación"
"Divination Kit","Equipo de adivinación"
"Doji","Doji"
"Doji Bureaucrat School",""
"Doji Diplomat School","Escuela de diplomático Doji"
"Dominion of Suijin","El dominio de Suijin"
"Doom Crossbow","Ballesta de perdición"
"Dragon","Dragón"
"Durable","Sólida"
"Dynasty Builder","Forjador de dinastías"
"Ears Everywhere","Oídos en todas partes"
"Earth","Tierra"
"Earth Becomes Sky","La tierra se vuelve cielo"
"Earth Invocations","Invocaciones de Tierra"
"Earth Kihō","Kihō de Tierra"
"Earth Needs No Eyes","La Tierra no necesita ojos"
"Earth Shūji","Shūji de Tierra"
"Earthen Fist","Puño de Tierra"
"Earthquake","Terremoto"
"Ebb and Flow","El constante devenir"
"Ebisu's Blessing","Bendición de Ebisu"
"Ebisu's Curse","Maldición de Ebisu"
"Echoes of Ancient Days",""
"Eku","Eku"
"Elegant Craftsman",""
"Elemental Transmutation","Transmutación elemental"
"Elevated for Service","Ascendido por sus servicios"
"Embrace of Kenro-Ji-Jin","El abrazo de Kenro-ji-jin"
"Embrace the Void","Aceptar el Vacío"
"Emerald Explorer","Explorador Esmeralda"
"Emerald Magistrate","Magistrado Esmeralda"
"Empathic Transfer","Transferencia emp?ica"
"Engineer's Kit","Equipo de ingeniero"
"Enlightened","Iluminado"
"Enlightenment","Iluminación"
"Entreat the Shadow Steed","Súplica al corcel sombrío"
"Essence of Jade","Esencia de jade"
"Ever-Changing Waves","Olas siempre cambiantes"
"Experiment and Adapt","Experimentación y adaptación"
"Expert Tracker","Rastreador experto"
"Extinguish","Extinguir"
"Eye of the Storm","El ojo del huracán"
"Eyes of Yotogi","Los ojos de Yotogi"
"Falcon","Halcón"
"Fallen Ancestor","Ancestro corrompido"
"False Identity","Identidad falsa"
"False Realm of the Fox Spirits","El reino falso de los espíritus zorro"
"Fame, Interpersonal","Fama, Interpersonal"
"Famous Deed","Hazaña famosa"
"Famously Honest","Famoso por su honestidad"
"Famously Lucky","Famoso por su fortuna"
"Famously Neutral",""
"Famously Reliable","Famoso por su fiabilidad"
"Famously Successful","Famoso por su éxito"
"Famously Wealthy","Famoso por su riqueza"
"Fanning the Flames","Avivar las llamas"
"Fashion","Moda"
"Favor of the Ancestors","El favor de los ancestros"
"Favor of the Fortunes","El favor de las fortunas"
"Fear of Death","Miedo a la muerte"
"Feigned Opening","Debilidad fingida"
"Ferocity","Ferocidad"
"Field Medicine","Medicina de campaña"
"Fiend's Retreat","La fuga del demonio"
"Finger of Jade","Dedo de jade"
"Fire","Fuego"
"Fire Invocations","Invocaciones de Fuego"
"Fire Kihō","Kihō de Fuego"
"Fire Shūji","Shūji de Fuego"
"Firefighter's Coat",""
"Fishing Rod and Line","Caña de pescar y sedal"
"Fitness","Aptitud física"
"Flame Fist","Puño de Fuego"
"Flaw, Mental","Defecto, Mental"
"Flexibility","Flexibilidad"
"Flickering Flame Skirmisher","Hostigador de llama parpadeante"
"Flowing Water Strike","Golpe del agua corriente"
"Flyssa","Flyssa"
"Folding Fan",""
"Folding Half-Bow",""
"Forbidden","Prohibida"
"Foreseen Need",""
"Foreseen in the Stars","Predicho por las estrellas"
"Formal Tea Ceremony",""
"Fortune-Telling","Adivinación"
"Fortunist Monk Order","Monje de orden fortunista"
"Fox Spirit","Espíritu zorro"
"Fractured Spine","Columna fracturada"
"Freezing the Lifeblood","Congelar la sangre vital"
"Friend of the Brotherhood","Amigo de la hermandad"
"Friend of the Nezumi","Amigo de los nezumi"
"Fukurokujin's Blessing","Bendición de Fukurokujin"
"Fukurokujin's Curse","Maldición de Fukurokujin"
"Fukurokujin's Wit","La astucia de Fukurokujin"
"Fun and Games",""
"Fury of Osano-wo","La furia de Osano-wo"
"Gaijin Compass","Brújula gaijin"
"Gaijin Name, Culture or Appearance","Nombre, cultura o apariencia gaijin"
"Games","Pasatiempos"
"Gaze into Shadow","Comtemplar las sombras"
"General Kata","Katas generales"
"Generosity","Generosidad"
"Genno","Genno"
"Gift of Musubi-no-Kami",""
"Glorious Sacrifice","Sacrificio glorioso"
"Goblin Killer","Mata trasgos"
"Gossip","Rumores"
"Gourmet","Gastrónomo"
"Government","Gobierno"
"Grace, eloquence or empathy","Gracia, elocuencia o empatía"
"Grasp of Earth","El abrazo de la Tierra"
"Grasp of the Air Dragon","El abrazo del dragón de Aire"
"Grasp the Earth Dragon","El abrazo del dragón de Tierra"
"Great","Gran"
"Gunsō","Gunsō"
"Hammer","Martillo"
"Hand Weapons","Armas de mano"
"Hands of Earth and Sky","Las manos de la tierra y el cielo"
"Hands of Tides","Manos de la marea"
"Harvester","Recolector"
"Hasegawa's Denial","La repulsa de Hasegawa"
"Haunting","Fantasma"
"Hawk's Precision","La precisión del halcón"
"Healer's Hands","Manos sanadoras"
"Heart of the Dragon","El corazón del Dragón"
"Heart of the Lion","El corazón del León"
"Heart of the Water Dragon","El corazón del dragón de Agua"
"Heartpiercing Strike","Golpe al corazón"
"Herbal Medicines (per dose)",""
"Hero of [Village]","Héroe de [aldea]"
"Heroic Charge","Carga heroica"
"Hida","Hida"
"Hida Defender School","Escuela de defensor Hida"
"Hidden in Smoke",""
"Hiruma","Hiruma"
"Hiruma Scout School","Escuela de explorador Hiruma"
"History","Historia"
"Honest Assessment","Valoración honesta"
"Horsebow","Arco a caballo"
"Hunted by Chikushō-dō","Odiado por Chikushō-dō"
"I Will Always Return","Siempre volveré"
"Iaijutsu Cut: Crossing Blade","Corte de iaijutsu: hoja cruzada"
"Iaijutsu Cut: Rising Blade","Corte de iaijutsu: hoja ascendente"
"Ichi's Second Sight","La segunda visión de Ichi"
"Ide","Ide"
"Ide Trader School","Escuela de comerciante Ide"
"Ikebana","Ikebana"
"Ikoma","Ikoma"
"Ikoma Shadow School",""
"Ikomo Bard School","Escuela de bardo Ikoma"
"Impatience","Impaciencia"
"Imperial","Imperial"
"Imperial Heritage","Herencia Imperial"
"Inari's Blessing","Bendición de Inari"
"Incisive Insight",""
"Incite Haunting","Incitar tormento"
"Inconspicuous Garb","Atuendo discreto"
"Incurable Illness","Enfermedad incurable"
"Indomitable Will","Voluntad indómita"
"Infamous Builder","Constructor infame"
"Ingenious Design","Diseño ingenioso"
"Insufferable Genius","Genio insufrible"
"Interpersonal","Interpersonal"
"Interpersonal (Name), Mental and Interpersonal (Culture), Physical (Appearance)","Interpersonal (nombre), Mental e Interpersonal (cultura), Física (apariencia)"
"Interpersonal, Infamy","Interpersonal, Infamia"
"Interpersonal, Mental","Interpersonal, Mental"
"Interpersonal, Physical","Interpersonal, Física"
"Interpersonal, Physical or Mental, Scar","Interpersonal, Física o Mental, Cicatriz"
"Interpersonal, Spiritual","Interpersonal, Espiritual"
"Intolerance","Intolerancia"
"Invisible Ink (per inkwell)",""
"Invocations","Invocaciones"
"Iron Forest Style","Estilo del bosque de hierro"
"Iron in the Mountains Style","Estilo del hierro en las montañas"
"Irrepressible Flirtation","Coqueteo irrefrenable"
"Isawa","Isawa"
"Isawa Elementalist School","Escuela de elementalista Isawa"
"Isolation",""
"Item (Rank 6 or Lower)","Objeto (nivel 6 o inferior)"
"Item Patterns","Patrones de objeto"
"Iuchi","Iuchi"
"Iuchi Meishōdō Master School","Escuela de maestro de meishōdō Iuchi"
"Jade Strike","Golpe de jade"
"Jealousy","Envidioso"
"Ji","Ji"
"Jian","Jian"
"Jitte","Jitte"
"Journal","Diario"
"Jurojin's Blessing","Bendición de Jurojin"
"Jurōjin's Balm","Bálsamo de Jurojin"
"Jurōjin's Curse","Maldición de Jurojin"
"Just as Predicted","Como había sido predicho"
"Justice of the Champion","La justicia del Campeón"
"Kabutowari","Kabutowari"
"Kaito","Kaito"
"Kaito Shrine Keeper School","Escuela de guardián de santuario Kaito"
"Kaiu","Kaiu"
"Kaiu Engineer School","Escuela de ingeniero Kaiu"
"Kaiu no Oyumi","Kaiu no Oyumi"
"Kakita","Kakita"
"Kakita Duelist School","Escuela de duelista Kakita"
"Kakita Katana","Katana Kakita"
"Kakita Pattern","Patrón Kakita"
"Kakita Swordsmith School","Escuela de forjador de espadas Kakita"
"Kama","Kama"
"Kamayari",""
"Karmic Tie","Lazo kármico"
"Kasuga","Kasuga"
"Kasuga Smuggler School","Escuela de contrabandista Kasuga"
"Kata","Kata"
"Katana","Katana"
"Katana of Fire","Katana de Fuego"
"Keen Balance","Gran equilibrio"
"Keen Hearing","Oído agudo"
"Keen Sight","Vista aguda"
"Keen Smell","Olfato agudo"
"Kenzō Blade","Espada Kenzō"
"Ki Protection","Protección de ki"
"Kihō","Kihō"
"Kingdom of Paper and Ink","Reino de papel y tinta"
"Kiseru","Kiseru"
"Kisshōten's Blessing","Bendición de Kisshōten"
"Kisshōten's Curse","Maldición de Kisshōten"
"Kitsu","Kitsu"
"Kitsu Medic School","Escuela de médico Kitsu"
"Kitsu Medium School","Escuela de medium Kitsu"
"Kitsuki","Kitsuki"
"Kitsuki Investigator School","Escuela de investigador Kitsuki"
"Kitsuki's Method","El método Kitsuki"
"Kitsune Impersonator Tradition","Tradición de impostor kitsune"
"Kitsune Starting Outfit","Equipo inicial kitsune"
"Knife","Cuchillo"
"Knotwork","Nudos"
"Kolat","Kolat"
"Kolat Saboteur Conspiracy","Saboteador de la conspiración kolat"
"Kubi Bukuro","Kubi bukuro"
"Kuge Lineage","Linaje kuge"
"Kuni","Kuni"
"Kuni Purifier School","Escuela de purificador Kuni"
"Kuni Warden School","Escuela de protector Kuni"
"Kusari-Gama","Kusari-gama"
"Kusarifundo",""
"Kyoketsu Shoge",""
"Labor","Trabajo manual"
"Lackluster",""
"Lacquered Armor","Armadura lacada"
"Lady Doji's Decree","El mandato de la Dama Doji"
"Lady Shinjo's Speed","La velocidad de la Dama Shinjo"
"Large Shield","Escudo grande"
"Large Stature","Gran estatura"
"Lead from the Front","Dirigir desde primera l?ea"
"Legal Primer",""
"Light Sleeper","Sueño ligero"
"Lightning Raid","Ataque relámpago"
"Like a Ghost",""
"Lion","León"
"Lion's Pride","El orgullo del León"
"Little Truths","Pequeñas verdades"
"Loathing for Peasants","Desprecio hacia los plebeyos"
"Local Flare for [Region]",""
"Loneliness","Soledad"
"Lord Akodo's Roar","El rugido del Señor Akodo"
"Lord Bayushi's Whispers","Los susurros del Señor Bayushi"
"Lord Hida's Grip","El abrazo del Seór Hida"
"Lord Shiba's Valor","El valor del Señor Shiba"
"Lord Togashi's Insight","La perspicacia del Señor Togashi"
"Lost Arm or Lost Hand","Manco"
"Lost Eye","Tuerto"
"Lost Fingers","Dedos perdidos"
"Lost Leg","Piernas"
"Lost Memories","Recuerdos perdidos"
"Lost Name","Nombre perdido"
"Lost in the Darkness","Desaparecido en la oscuridad"
"Lucky Cricket","Grillo de la suerte"
"Mahō","Mahō"
"Mahō or Ninjutsu","Mahō o Ninjutsu"
"Maikara's Rebuke","La reprimenda de Maikara"
"Maimed Arm","Brazo mutilado"
"Maimed Visage","Desfigurado"
"Majesty of the Throne","La magnificencia del trono"
"Makeup Kit","Juego de maquillaje"
"Makeup Kit (cheap)",""
"Makeup Kit (expensive)",""
"Makibishi (per handful)",""
"Mantis","Mantis"
"Map of Crab Lands",""
"Mari",""
"Mark of Desecration","Marca de profanación"
"Martial Arts [Melee]","Artes marciales [armas cuerpo a cuerpo]"
"Martial Arts [Ranged]","Artes marciales [armas a distancia]"
"Martial Arts [Unarmed]","Artes marciales [combate sin armas]"
"Martial skill","Habilidad marcial"
"Martial skills","Habilidades marciales"
"Masakari","Masakari"
"Mask of Wind","Máscara de viento"
"Master of Elements","Maestro de los elementos"
"Masterful Builder","Maestro constructor"
"Materialism","Materialismo"
"Matsu","Matsu"
"Matsu Berserker School","Escuela de bersérker Matsu"
"Matsu's Battlecry","El grito de batalla de Matsu"
"Matsu's Fury","La furia de Matsu"
"Medicine","Medicina"
"Medicine Kit","Equipo de medicina"
"Meditation","Meditación"
"Meekness","Docilidad"
"Melee","Armas cuerpo acuerpo"
"Mental","Mental"
"Mental, Interpersonal","Mental, Interpersonal"
"Mental, Physical","Mental, Física"
"Mental, Scar","Mental, Cicatriz"
"Mental, Spiritual","Mental, Espiritual"
"Mental, Virtue","Mental, Virtud"
"Mercenary Ninja Training",""
"Metsubushi (per dose)",""
"Military History","Historia militar"
"Minor","Menor"
"Mirumoto","Mirumoto"
"Mirumoto Taoist Blade School","Escuela de espadachín taolista Mirumoto"
"Mirumoto Two-Heavens Adept School","Escuela de practicante de los Dos Cielos Mirumoto"
"Miya","Miya"
"Miya Cartographer School","Escuela de cartógrafo Miya"
"Miya Herald School","Escuela de heraldo Miya"
"Mizugumo (Water Spider)",""
"Modified Scabbard",""
"Momoku","Momoku"
"Monastic Acolyte","Acólito monacal"
"Monk","Monje"
"Mono Imi Fuda (Taboo Plaque)",""
"Moto","Moto"
"Moto Avenger School","Escuela de vengador Moto"
"Moto Conqueror School","Escuela de conquistador Moto"
"Mundane","Mundana"
"Musical Instrument (common)","Instrumento musical (común)"
"Musical Instrument (fine)","Instrumento musical (buena calidad)"
"Muteness","Mudo"
"Mystical Script","Escritura mística"
"Naginata","Naginata"
"Nature's Touch","El toque de la naturaleza"
"Navigator","Navegante"
"Necessary Actions","Actuaciones necesarias"
"Nerve Damage","Daño nervioso"
"Ninjatō",""
"Ninjutsu","Ninjutsu"
"Ninth Tail Ascension","El advenimiento de la novena cola"
"No Sacrifice Too Greate","Ningún sacrificio es demasiado"
"Nodachi","Nodachi"
"Norimono (Palanquin)",""
"Noxious Cloud","Nube tóxica"
"Nunchaku","Nunchaku"
"O-Gata Dohou","O-Gata Dohou"
"Obtuse","Obtuso"
"Offend the Sensibilities",""
"Omamori","Omamori"
"One Sword of Rarity 7 or Lower","Una espada de rareza 7 o inferior"
"One Weapon of Rarity 6 or Lower","Un arma de rareza 6 o inferior"
"One with the Elements","Uno con los elementos"
"One with the Shadows",""
"One with the Void","Uno con el Vacío"
"Ono","Ono"
"Open-Hand Style","Estilo de la palma abierta"
"Opening and Closing Tools",""
"Osano-wo's Boast","La jactancia de Osano-wo"
"Other","Otro"
"Other item relevant to your ancestor's victory",""
"Otomo","Otomo"
"Otomo Schemer School","Escuela de intrigante Otomo"
"Overconfidence in Charm",""
"Overconfidence in Creativity",""
"Overconfidence in Spiritual Sensitivity",""
"Overconfidence in Subtlety",""
"Overconfidence in Toughness",""
"Oyumi","Oyumi"
"Painful Honesty","Honestidad brutal"
"Paragon of Compassion","Ejemplo de Compasión"
"Paragon of Courage","Ejemplo de Coraje"
"Paragon of Courtesy","Ejemplo de Cortesía"
"Paragon of Duty and Loyalty","Ejemplo de Deber y Lealtad"
"Paragon of Honor","Ejemplo de Honor"
"Paragon of Righteousness","Ejemplo de Rectitud"
"Paragon of Sincerity","Ejemplo de Sinceridad"
"Paranoia","Paranoia"
"Path to Inner Peace","El camino hacia la paz interior"
"Pelting Hail Style","Estilo del vendaval de granizo"
"Perfectionism","Perfeccionista"
"Perfomers' Boat",""
"Performance","Interpretación"
"Personal Seal or Chop","Sello o hanko personal"
"Phobia","Fobia"
"Phoenix","Fénix"
"Physical","Física"
"Physical (Appearance","Física (Apariencia)"
"Physical, Interpersonal","Física, Interpersonal"
"Physical, Interpersonal, Scar","Física, Interpersonal, Cicatriz"
"Physical, Mental","Física, Mental"
"Physical, Scar","Física, Cicatriz"
"Physical, Spiritual","Física, Espiritual"
"Pillar of Calm","Pilar de calma"
"Pillow Book","Libro de almohada"
"Pin the Fan","Clavar el abanico"
"Plated Armor","Armadura de placas"
"Playfulness","Jovialidad"
"Playing Cards","Naipes"
"Poison (per vial)","Veneno (cada vial)"
"Pole-Vault",""
"Polearms","Armas de asta"
"Portable Boat",""
"Portable Ladder",""
"Post Facto",""
"Pot Stirrer",""
"Pouch of Gaijin Coins","Bolsa de monedas gaijin"
"Power of the Earth Dragon","El poder del dragón de Tierra"
"Precise Memory","Memoria perfecta"
"Prepare","Ajuste"
"Prepare (2)","Ajuste (2)"
"Prey on the Weak","Acosar a los desprevenidos"
"Priest","Sacerdote"
"Procedure and Protocol",""
"Professional Saboteur","Saboteador profesional"
"Provocation","Provocación"
"Purge the Wicked","Purificar a los malvados"
"Quick Reflexes","Reflejos rápidos"
"Quiver of Arrows","Aljaba de flechas"
"Quiver of Bolts","Aljaba de virotes"
"Rallying Cry","Grito de guerra"
"Ranged","A distancia"
"Ranged Combat Kata","Katas de combate a distancia"
"Ravenous Swarms","Enjambres famélicos"
"Razor-Edged","Afilada"
"Razor-edged","Afilada"
"Reflections of P'an Ku","Reflejos de P'an Ku"
"Reformed Mahō-Tsukai","Mahō-tsukai reformado"
"Regal Bearing","Porte regio"
"Rending Jaws of the Lion","Las fauces desgarradoras del León"
"Researcher","Investigador"
"Resilient Readiness","Preparación tenaz"
"Resplendent","Resplandeciente"
"Ride the Water Dragon","Montar sobre el dragón de Agua"
"Riding the Clouds","Montar sobre las nubes"
"Ring Exchange","Intercambio de anillos"
"Rise, Air","Álzate, Aire"
"Rise, Earth","Álzate, Tierra"
"Rise, Flame","Álzate, Fuego"
"Rise, Water","Álzate, Agua"
"Rituals","Rituales"
"Rochin","Rochin"
"Rock Gardening","Jardines de roca"
"Rokugani Pony","Poni rokuganés"
"Roll a ten-sided again to determine a Martial skill; gain +1 rank in that skill","Tira de nuevo un dado de diez caras para determinar una habilidad marcial; adquieres un nivel adicional en esta habilidad."
"Roll a ten-sided die again and add the resulting family heirloom to your starting items. You choose one quality and the GM chooses one quality from the list of item qualities, on page 240; these are applied to the item.","Tira de nuevo un dado de diez caras y añade la herencia familiar resultante a tu equipo inicial. Tú eliges una propiedad y el DJ elige otra de la lista de propiedades de objetos, en la página ++240++. Aplica las propiedades al objeto."
"Roll a ten-sided die again to determin your lost family heirloom, which exists somewhere in the world. You choose one quality and the GM chooses one quality; these are applied to the item. You do not know where the heirloom is, but you could later reclaim it during the campaign.","Tira de nuevo un dado de diez caras para determinar tu herencia familiar perdida, que existe en algún lugar del mundo. Tú eliges una propiedad y el DJ elige otra de la lista de propiedades de objetos, en la página ++240++; ambas se aplican al artículo. No sabes dónde está, pero podrías recuperarla más adelante durante la campaña."
"Roll a ten-sided die again to determine a Scholar skill; gain +1 rank in that skill","Tira de nuevo un dado de diez caras para determinar una habilidad académica; adquieres un nivel adicional en esta habilidad."
"Roll a ten-sided die again to determine a Social skill; gain +1 rank in that skill","Tira de nuevo un dado de diez caras para determinar una habilidad social; adquieres un nivel adicional en esta habilidad."
"Roll a ten-sided die again to determine a Trade skill; gain +1 rank in that skill","Tira de nuevo un dado de diez caras para determinar una habilidad mercantil; adquieres un nivel adicional en esta habilidad"
